filename,label,kfold
10.jpg,fall,0
10491.jpg,fall,0
10552.jpg,fall,0
1069.jpg,fall,0
10748.jpg,fall,0
11102.jpg,fall,0
11144.jpg,fall,0
11540.jpg,fall,0
11564.jpg,fall,0
11726.jpg,fall,0
11823.jpg,fall,0
11962.jpg,fall,0
12109.jpg,fall,0
12243.jpg,fall,0
12795.jpg,fall,0
12845.jpg,fall,0
13081.jpg,fall,0
13112.jpg,fall,0
1346.jpg,fall,0
13685.jpg,fall,0
13700.jpg,fall,0
13716.jpg,fall,0
14.jpg,fall,0
1402.jpg,fall,0
14542.jpg,fall,0
14839.jpg,fall,0
14891.jpg,fall,0
14916.jpg,fall,0
14920.jpg,fall,0
15027.jpg,fall,0
15102.jpg,fall,0
15172.jpg,fall,0
15701.jpg,fall,0
15868.jpg,fall,0
16006.jpg,fall,0
16295.jpg,fall,0
16347.jpg,fall,0
16358.jpg,fall,0
16378.jpg,fall,0
16836.jpg,fall,0
1692.jpg,fall,0
16962.jpg,fall,0
17217.jpg,fall,0
1737.jpg,fall,0
17684.jpg,fall,0
17695.jpg,fall,0
17696.jpg,fall,0
17876.jpg,fall,0
18122.jpg,fall,0
18176.jpg,fall,0
18226.jpg,fall,0
18449.jpg,fall,0
18495.jpg,fall,0
18551.jpg,fall,0
18567.jpg,fall,0
19169.jpg,fall,0
19183.jpg,fall,0
19294.jpg,fall,0
19413.jpg,fall,0
19442.jpg,fall,0
19990.jpg,fall,0
20115.jpg,fall,0
20431.jpg,fall,0
20643.jpg,fall,0
20804.jpg,fall,0
21244.jpg,fall,0
21356.jpg,fall,0
21434.jpg,fall,0
21455.jpg,fall,0
21518.jpg,fall,0
21657.jpg,fall,0
21702.jpg,fall,0
21731.jpg,fall,0
21905.jpg,fall,0
22290.jpg,fall,0
22516.jpg,fall,0
22821.jpg,fall,0
22942.jpg,fall,0
23232.jpg,fall,0
23341.jpg,fall,0
23612.jpg,fall,0
24055.jpg,fall,0
24549.jpg,fall,0
24577.jpg,fall,0
24908.jpg,fall,0
24982.jpg,fall,0
2528.jpg,fall,0
25386.jpg,fall,0
25422.jpg,fall,0
25464.jpg,fall,0
25498.jpg,fall,0
26143.jpg,fall,0
26377.jpg,fall,0
26390.jpg,fall,0
26425.jpg,fall,0
26438.jpg,fall,0
26583.jpg,fall,0
26740.jpg,fall,0
26893.jpg,fall,0
27124.jpg,fall,0
27425.jpg,fall,0
27429.jpg,fall,0
27673.jpg,fall,0
28003.jpg,fall,0
28327.jpg,fall,0
28335.jpg,fall,0
28360.jpg,fall,0
28593.jpg,fall,0
28769.jpg,fall,0
28885.jpg,fall,0
28955.jpg,fall,0
29014.jpg,fall,0
29047.jpg,fall,0
29258.jpg,fall,0
29336.jpg,fall,0
2957.jpg,fall,0
3450.jpg,fall,0
3608.jpg,fall,0
3924.jpg,fall,0
4079.jpg,fall,0
4092.jpg,fall,0
4570.jpg,fall,0
4688.jpg,fall,0
4770.jpg,fall,0
5259.jpg,fall,0
5385.jpg,fall,0
5409.jpg,fall,0
5418.jpg,fall,0
5537.jpg,fall,0
5562.jpg,fall,0
5891.jpg,fall,0
5989.jpg,fall,0
6067.jpg,fall,0
6892.jpg,fall,0
7322.jpg,fall,0
7484.jpg,fall,0
7530.jpg,fall,0
7615.jpg,fall,0
7897.jpg,fall,0
8.jpg,fall,0
8376.jpg,fall,0
8641.jpg,fall,0
8807.jpg,fall,0
8843.jpg,fall,0
9288.jpg,fall,0
9293.jpg,fall,0
9420.jpg,fall,0
9450.jpg,fall,0
9563.jpg,fall,0
9686.jpg,fall,0
9969.jpg,fall,0
9981.jpg,fall,0
Alessandra Ambrosio 4.png,fall,0
Alessandra Ambrosio 5.png,fall,0
ana de armas 1.png,fall,0
Ana de Armas 12.png,fall,0
Ana de Armas 4.png,fall,0
Annalisa 2_0.png,fall,0
Annalisa 2_1.png,fall,0
annalisa 6.png,fall,0
annalisa 9.png,fall,0
Ashley Olsen 3_1.png,fall,0
Ashley Olsen 5.png,fall,0
Ashley Olsen 6.png,fall,0
beyonce 5.png,fall,0
beyonce 8.png,fall,0
calista flockhart 2.png,fall,0
Calista Flockhart 3.png,fall,0
Calista Flockhart 4.png,fall,0
Calista Flockhart 6.png,fall,0
Calista Flockhart 7.png,fall,0
Camilla Boniardi 2.png,fall,0
cindy crawford 8.png,fall,0
cindy crawford 9.png,fall,0
cristina-parodi 6.png,fall,0
David Beckham 1_0.png,fall,0
David Beckham 3.png,fall,0
Debra Messing 1.png,fall,0
debra-messing 8.png,fall,0
Drew Barrymore 12.png,fall,0
Drew Barrymore 2.png,fall,0
Drew Barrymore 6.png,fall,0
Eliana Miglio 3.png,fall,0
Eliana Miglio Autunno Soft.png,fall,0
ElisabettaCanalis1.png,fall,0
elodie 10.png,fall,0
elodie 5.png,fall,0
emily ratajkowski  3.png,fall,0
emily ratajkowski  7.png,fall,0
emma watson 10.png,fall,0
emma watson 4.png,fall,0
emma watson 5.png,fall,0
Emma-Watson1.png,fall,0
emmawatson 6.png,fall,0
evan-peters 1.png,fall,0
Eva_Mendes 6.png,fall,0
fall (12).jpg,fall,0
fall (13).jpg,fall,0
fall (25).jpg,fall,0
fall (28).JPG,fall,0
fall (38).jpg,fall,0
fall (7).PNG,fall,0
"Felicity Jones, 4.png",fall,0
felicity-jones 2.png,fall,0
Gal Gadot 2.png,fall,0
gigi hadid 2_1.png,fall,0
Halle berry 5.png,fall,0
jen.JPG,fall,0
Jennifer garner 1.png,fall,0
Jennifer garner 3.png,fall,0
jennifer lopez 3.png,fall,0
Jennifer Lopez.png,fall,0
Jennifer-Garner 2.png,fall,0
jessica alba 3.png,fall,0
jessica alba 5.png,fall,0
Julia Roberts 2_1.png,fall,0
julia roberts 3_1.png,fall,0
kaia gerber 3.png,fall,0
kaia-gerber 5.png,fall,0
Kaya Gerber.png,fall,0
Kaya Gerber1.png,fall,0
ko1.jpg,fall,0
Lorena Cesarini.png,fall,0
Lorena Cesarini1.png,fall,0
meghan markle 6.png,fall,0
Meghan Markle.png,fall,0
melissa satta 7.png,fall,0
melissa satta 8.png,fall,0
mila kunis 3.png,fall,0
mila kunis 8.png,fall,0
rachel zoe 2.png,fall,0
Robert Pattinson 9.png,fall,0
"Robert Pattinson,8.png",fall,0
Ryan Gosling 2.png,fall,0
Sarah Hyland 6.png,fall,0
Sarah Hyland 8.png,fall,0
serena rossi  5.png,fall,0
serena rossi 6.png,fall,0
Serena Rossi1.png,fall,0
shay mitchell 10.png,fall,0
Shay Mitchell AUTUNNO DEEP.png,fall,0
Sonia Grispo 1.png,fall,0
susan sarandon 10.png,fall,0
susan sarandon 12.png,fall,0
susan sarandon 9.png,fall,0
theo james 3.png,fall,0
tyra banks 1.png,fall,0
"Tyra Banks, 5.png",fall,0
Vanessa Incontrada 2_0.png,fall,0
Vanessa Incontrada 2_1.png,fall,0
Veronica-Ferraro 3.png,fall,0
zendaya 8.png,fall,0
Zendaya.png,fall,0
10093.jpg,spring,0
10143.jpg,spring,0
10361.jpg,spring,0
10611.jpg,spring,0
10786.jpg,spring,0
10799.jpg,spring,0
11000.jpg,spring,0
11016.jpg,spring,0
11162.jpg,spring,0
11304.jpg,spring,0
11800.jpg,spring,0
12293.jpg,spring,0
1246.jpg,spring,0
125.jpg,spring,0
12923.jpg,spring,0
13126.jpg,spring,0
1318.jpg,spring,0
1328.jpg,spring,0
13539.jpg,spring,0
13736.jpg,spring,0
13847.jpg,spring,0
13901.jpg,spring,0
14668.jpg,spring,0
14754.jpg,spring,0
14938.jpg,spring,0
14949.jpg,spring,0
15089.jpg,spring,0
15331.jpg,spring,0
1544.jpg,spring,0
15565.jpg,spring,0
15970.jpg,spring,0
16105.jpg,spring,0
16124.jpg,spring,0
16393.jpg,spring,0
16950.jpg,spring,0
17369.jpg,spring,0
17673.jpg,spring,0
18371.jpg,spring,0
1888.jpg,spring,0
18997.jpg,spring,0
19312.jpg,spring,0
19465.jpg,spring,0
19576.jpg,spring,0
19724.jpg,spring,0
20041.jpg,spring,0
20382.jpg,spring,0
20571.jpg,spring,0
20775.jpg,spring,0
2102.jpg,spring,0
21486.jpg,spring,0
21837.jpg,spring,0
2194.jpg,spring,0
21968.jpg,spring,0
22334.jpg,spring,0
22420.jpg,spring,0
22863.jpg,spring,0
22927.jpg,spring,0
22999.jpg,spring,0
23272.jpg,spring,0
23456.jpg,spring,0
2366.jpg,spring,0
2373.jpg,spring,0
23730.jpg,spring,0
23964.jpg,spring,0
23974.jpg,spring,0
24674.jpg,spring,0
24958.jpg,spring,0
24973.jpg,spring,0
25262.jpg,spring,0
25291.jpg,spring,0
25306.jpg,spring,0
25325.jpg,spring,0
25650.jpg,spring,0
26845.jpg,spring,0
27171.jpg,spring,0
27242.jpg,spring,0
27254.jpg,spring,0
27415.jpg,spring,0
27557.jpg,spring,0
27917.jpg,spring,0
28214.jpg,spring,0
28404.jpg,spring,0
29021.jpg,spring,0
29145.jpg,spring,0
29621.jpg,spring,0
29653.jpg,spring,0
29793.jpg,spring,0
3008.jpg,spring,0
3040.jpg,spring,0
3244.jpg,spring,0
3613.jpg,spring,0
3786.jpg,spring,0
3922.jpg,spring,0
3936.jpg,spring,0
3986.jpg,spring,0
4184.jpg,spring,0
4206.jpg,spring,0
4301.jpg,spring,0
5324.jpg,spring,0
5452.jpg,spring,0
5638.jpg,spring,0
5914.jpg,spring,0
6161.jpg,spring,0
6698.jpg,spring,0
6741.jpg,spring,0
7523.jpg,spring,0
7971.jpg,spring,0
8423.jpg,spring,0
8526.jpg,spring,0
8779.jpg,spring,0
8933.jpg,spring,0
9144.jpg,spring,0
9242.jpg,spring,0
9404.jpg,spring,0
9610.jpg,spring,0
9827.jpg,spring,0
Adriana Lima 3.png,spring,0
Adriana Lima.png,spring,0
Alessandra Ambrosio PRIMAVERA BRIGHTjpeg.png,spring,0
alexa chung.png,spring,0
alexa chung26.png,spring,0
alexa chung27.png,spring,0
alexa chung32.png,spring,0
alexa chung6.png,spring,0
aleza chang-primavera bright.png,spring,0
Angelina Jolie 1.png,spring,0
angelina jolie11.png,spring,0
angelina jolie12.png,spring,0
angelina jolie14.png,spring,0
Angelina Jolie2.png,spring,0
angelina jolie29.png,spring,0
Angelina Jolie3.png,spring,0
Angelina Jolie7.png,spring,0
bradley cooper2.png,spring,0
bradley cooper4.png,spring,0
Cara Delevigne 2.png,spring,0
Cara Delevigne4.png,spring,0
Cara Delevigne9.png,spring,0
cate blanchett10.png,spring,0
cate blanchett12.png,spring,0
Charlotte Casiraghi5.png,spring,0
Charlotte Casiraghi6.png,spring,0
Charlotte Casiraghi9.png,spring,0
Chiara Ferragni10.png,spring,0
chloe sevigny- primavera light.png,spring,0
clio zammatteo.png,spring,0
clio zammatteo1.png,spring,0
clio zammatteo4.png,spring,0
clio zammatteo5.png,spring,0
clio zammatteo6.png,spring,0
cristiana capotondi11.png,spring,0
cristiana capotondi12.png,spring,0
cristiana capotondi18.png,spring,0
cristiana capotondi21.png,spring,0
cristiana capotondi25.png,spring,0
cristiana capotondi32.png,spring,0
Cristiana Capotondi4.png,spring,0
Cynthia Nixon1.png,spring,0
cynthia nixon5.png,spring,0
damian lewis7.png,spring,0
doutzen kroes1.png,spring,0
elettra lamborghini-primavera bright.png,spring,0
emma corrin14.png,spring,0
emma corrin2.png,spring,0
emma corrin6.png,spring,0
emma corrin7.png,spring,0
Emma Stone 1.png,spring,0
Emma Stone.png,spring,0
Emma Stone1.png,spring,0
gillian anderson15.png,spring,0
gillian anderson17.png,spring,0
gillian anderson18.png,spring,0
gillian anderson20.png,spring,0
gillian anderson22.png,spring,0
gillian anderson23.png,spring,0
gillian anderson28.png,spring,0
gillian anderson33.png,spring,0
gillian anderson42.png,spring,0
gillian anderson46.png,spring,0
gillian anderson7.png,spring,0
Ilary Blasi.png,spring,0
irene grandi.png,spring,0
irene grandi1.png,spring,0
Jessica Chastain.png,spring,0
jessica chastain13.png,spring,0
jessica chastain15.png,spring,0
jessica chastain22.png,spring,0
jessica chastain23.png,spring,0
jessica chastain25.png,spring,0
jessica chastain34.png,spring,0
kevin mckidd-primavera light.png,spring,0
Lindsay Lohan 2.png,spring,0
Lindsay Lohan 3.png,spring,0
Lindsay Lohan2.png,spring,0
Lindssey Lohan 1.png,spring,0
marco verratti-primavera bright.png,spring,0
Margot Robbie.png,spring,0
Margot Robbie5.png,spring,0
Margot Robbie6.png,spring,0
Miriam Leone 2.png,spring,0
Miriam Leone.png,spring,0
Miriam Leone9.png,spring,0
